trade_date,instrument_type,open,high,low,close,volume,oi,amount
1995-05-16,RU,52549.61001805391,52549.61001805391,52483.509879666424,52483.509879666424,100.0,100.0,1588000.0
1995-05-17,RU,53640.26230144748,53640.26230144748,52714.860364022636,52714.860364022636,60.0,100.0,957000.0
1995-05-18,RU,51723.35828821029,51888.60863417902,51723.35828821029,51888.60863417902,40.0,60.0,628000.0
1995-05-22,RU,53342.81167870378,53342.81167870378,53342.81167870378,53342.81167870378,20.0,40.0,322800.0
1995-06-16,RU,53021.46943967544,53021.46943967544,50932.74488599126,50932.74488599126,200.0,200.0,3170000.0
1995-06-21,RU,48972.55722791841,48972.55722791841,48972.55722791841,48972.55722791841,800.0,200.0,12192000.0
1995-06-22,RU,46530.35621130306,47108.77224155406,46530.35621130306,47108.77224155406,400.0,200.0,5864000.0
1995-07-17,RU,45224.4213518919,45224.4213518919,45224.4213518919,45224.4213518919,1000.0,1000.0,14650000.0
1995-07-18,RU,45286.161176263086,47477.9249414401,43310.486796385216,43866.14521572586,1540.0,60.0,21883400.0
1995-07-19,RU,44298.32398632415,44298.32398632415,43835.27530354027,43835.27530354027,220.0,60.0,3124000.0
1995-07-20,RU,46366.60810275879,46366.60810275879,43680.925742612315,46273.99836620202,1840.0,60.0,27581600.0
1995-07-21,RU,48465.76213137904,48465.76213137904,48465.76213137904,48465.76213137904,1000.0,60.0,15700000.0
1995-07-24,RU,49391.85949694679,49391.85949694679,46057.90898090288,46088.77889308847,12000.0,60.0,179160000.0
1995-07-25,RU,44329.193898509744,44329.193898509744,44329.193898509744,44329.193898509744,200.0,60.0,2872000.0
1995-07-26,RU,43773.53547916909,43773.53547916909,43773.53547916909,43773.53547916909,20.0,60.0,283600.0
1995-07-27,RU,43372.226620756395,43372.226620756395,43372.226620756395,43372.226620756395,100.0,160.0,1405000.0
1995-07-28,RU,43897.01512791146,43897.01512791146,43897.01512791146,43897.01512791146,20.0,160.0,284400.0
1995-08-01,RU,43804.40539135468,43804.40539135468,43804.40539135468,43804.40539135468,40.0,200.0,567600.0
1995-08-02,RU,44761.37266910802,44761.37266910802,44761.37266910802,44761.37266910802,520.0,200.0,7540000.0
1995-08-08,RU,43835.27530354027,43835.27530354027,43835.27530354027,43835.27530354027,40.0,200.0,568000.0
1995-08-11,RU,44761.37266910802,44761.37266910802,44452.67354725211,44452.67354725211,200.0,200.0,2880000.0
1995-08-14,RU,43526.57618168436,44236.58416195297,43526.57618168436,44236.58416195297,800.0,200.0,11464000.0
1995-08-15,RU,46119.64880527406,46119.64880527406,46119.64880527406,46119.64880527406,400.0,200.0,5976000.0
1995-08-17,RU,43835.27530354027,43835.27530354027,43835.27530354027,43835.27530354027,40.0,200.0,568000.0
1995-09-21,RU,46027.039068717284,46027.039068717284,46027.039068717284,46027.039068717284,20.0,200.0,298200.0
1995-10-12,RU,48311.41257045107,48311.41257045107,48311.41257045107,48311.41257045107,100.0,300.0,1565000.0
1995-10-13,RU,48774.46125323495,48774.46125323495,48774.46125323495,48774.46125323495,100.0,200.0,1580000.0
1995-11-02,RU,49422.72940913238,49422.72940913238,49422.72940913238,49422.72940913238,180.0,200.0,2881800.0
1995-11-03,RU,49391.85949694679,50472.3064234425,49391.85949694679,50472.3064234425,100.0,160.0,1635000.0
1995-11-07,RU,50626.65598437045,50626.65598437045,50009.25774065862,50009.25774065862,100.0,100.0,1620000.0
1995-11-08,RU,48958.012082446585,50009.25774065863,48958.012082446585,50009.25774065863,40.0,60.0,666000.0
1996-01-12,RU,49378.5103457314,49408.54593596603,49378.5103457314,49408.54593596603,40.0,40.0,658000.0
1996-01-15,RU,49558.72388713918,49558.72388713918,49108.19003361973,49258.36798479288,856.0,516.0,14038400.0
1996-01-16,RU,49258.36798479288,49348.47475549677,49168.26121408899,49258.36798479288,1416.0,1576.0,23222400.0
1996-01-17,RU,49258.36798479288,49258.36798479288,49108.19003361973,49228.33239455825,1590.0,1996.0,26060100.0
1996-01-18,RU,49168.26121408899,49258.36798479288,49168.26121408899,49228.33239455825,1348.0,2540.0,22093720.0
1996-01-19,RU,49258.36798479288,49738.93742854696,49258.36798479288,49708.901838312326,1580.0,2600.0,26149000.0
1996-01-22,RU,49408.54593596603,49468.61711643529,49408.54593596603,49438.58152620066,1904.0,3096.0,31339840.0
1996-01-23,RU,49408.54593596603,49408.54593596603,49318.43916526214,49348.47475549677,1544.0,3106.0,25367920.0
1996-01-24,RU,49438.58152620066,49618.79506760844,49438.58152620066,49498.65270666992,1880.0,2806.0,30982400.0
1996-01-25,RU,49616.86993778925,49646.263818084146,49528.688296904555,49528.688296904555,1452.0,2750.0,24466200.0
1996-01-26,RU,49469.90053631475,49499.29441660966,49469.90053631475,49469.90053631475,1470.0,3190.0,24740100.0
1996-01-29,RU,49499.29441660966,49499.29441660966,49440.506656019854,49440.506656019854,1340.0,3260.0,22538800.0
1996-01-30,RU,49440.506656019854,49440.506656019854,49322.93113484026,49322.93113484026,1782.0,3092.0,29901960.0
1996-01-31,RU,49264.14337425046,49264.14337425046,48411.72084569839,49146.56785307087,2004.0,3630.0,33506880.0
1996-02-01,RU,49205.355613660664,49205.355613660664,48674.36256747008,49205.355613660664,1200.0,840.0,20016000.0
1996-02-02,RU,48969.35870424263,49559.35097778772,48969.35870424263,48969.35870424263,1080.0,780.0,17928000.0
1996-02-05,RU,49006.517600648425,49006.517600648425,48880.85986321086,48880.85986321086,720.0,240.0,11203200.0
1996-02-06,RU,51205.528005805725,51205.528005805725,51174.11357144634,51174.11357144634,60.0,260.0,977400.0
1996-02-07,RU,51236.94244016511,51236.94244016511,48786.616560132694,48912.27429757026,300.0,160.0,4671000.0
1996-02-08,RU,49006.517600648425,51205.528005805725,49006.517600648425,51174.11357144634,160.0,160.0,2606400.0
1996-02-09,RU,50263.094975024025,50859.96922785244,49037.93203500781,49634.806287836225,960.0,260.0,15168000.0
1996-02-12,RU,49948.950631430125,49948.950631430125,49948.950631430125,49948.950631430125,400.0,260.0,6360000.0
1996-03-05,RU,49006.517600648425,49006.517600648425,49006.517600648425,49006.517600648425,200.0,200.0,3120000.0
1996-03-06,RU,48001.255701147944,48001.255701147944,48001.255701147944,48001.255701147944,160.0,200.0,2444800.0
1996-03-07,RU,47121.651539085025,47121.651539085025,47121.651539085025,47121.651539085025,40.0,160.0,600000.0
1996-03-12,RU,47153.06597344441,47153.06597344441,47153.06597344441,47153.06597344441,200.0,160.0,3002000.0
1996-03-18,RU,47153.06597344441,47153.06597344441,47153.06597344441,47153.06597344441,200.0,160.0,3002000.0
1996-03-20,RU,47184.48040780381,47184.48040780381,47184.48040780381,47184.48040780381,160.0,160.0,2403200.0
1996-03-25,RU,49540.56298475806,49540.56298475806,47749.940226272825,47749.940226272825,50.0,160.0,760000.0
1996-03-26,RU,46116.38963958454,46116.38963958454,46116.38963958454,46116.38963958454,200.0,200.0,2976000.0
1996-03-27,RU,46116.38963958454,46116.38963958454,46116.38963958454,46116.38963958454,320.0,320.0,4761600.0
1996-04-03,RU,46116.38963958454,46116.38963958454,45248.60811410849,45248.60811410849,260.0,320.0,3796000.0
1996-04-08,RU,45248.60811410849,45248.60811410849,45248.60811410849,45248.60811410849,200.0,320.0,2920000.0
1996-04-17,RU,44938.68614072418,44938.68614072418,44938.68614072418,44938.68614072418,200.0,320.0,2900000.0
1996-04-19,RU,44318.84219395557,44318.84219395557,43389.07627380266,43389.07627380266,120.0,320.0,1680000.0
1996-04-24,RU,43389.07627380266,43668.00604984853,43389.07627380266,43668.00604984853,600.0,320.0,8454000.0
1996-04-29,RU,45558.53008749279,45558.53008749279,43389.07627380266,43389.07627380266,2400.0,320.0,33600000.0
1996-05-17,RU,44969.67833806261,44969.67833806261,44969.67833806261,44969.67833806261,24.0,344.0,348240.0
1996-05-20,RU,45496.545692815926,45496.545692815926,45403.56910080064,45403.56910080064,40.0,384.0,586000.0
