ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
FB1508.DCE,FB1508,DCE,纤维板1508,FB,,张,500.0,人民币元/张,0.05人民币元/张,实物交割,2014-08-15,2015-08-14,201508,2015-08-19
M1508.DCE,M1508,DCE,豆粕1508,M,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-08-15,2015-08-14,201508,2015-08-19
Y1508.DCE,Y1508,DCE,豆油1508,Y,,吨,10.0,人民币元/吨,2人民币元/吨,实物交割,2014-08-15,2015-08-14,201508,2015-08-19
BB1508.DCE,BB1508,DCE,胶合板1508,BB,,张,500.0,人民币元/张,0.05人民币元/张,实物交割,2014-08-15,2015-08-14,201508,2015-08-19
JM1508.DCE,JM1508,DCE,焦煤1508,JM,,吨,60.0,人民币元/吨,0.5人民币元/吨,实物交割,2014-08-15,2015-08-14,201508,2015-08-19
I1508.DCE,I1508,DCE,铁矿石1508,I,,吨,100.0,人民币元/吨,0.5人民币元/吨,实物交割,2014-08-15,2015-08-14,201508,2015-08-19
A0407.DCE,A0407,DCE,豆一0407,A,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2003-01-16,2004-07-14,200407,2004-07-21
L1510.DCE,L1510,DCE,塑料1510,L,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2014-10-22,2015-10-21,201510,2015-10-26
J1510.DCE,J1510,DCE,焦炭1510,J,,吨,100.0,人民币元/吨,0.5人民币元/吨,实物交割,2014-10-22,2015-10-21,201510,2015-10-26
I1510.DCE,I1510,DCE,铁矿石1510,I,,吨,100.0,人民币元/吨,0.5人民币元/吨,实物交割,2014-10-22,2015-10-21,201510,2015-10-26
B0607.DCE,B0607,DCE,豆二0607,B,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2005-07-15,2006-07-14,200607,2006-07-19
M1511.DCE,M1511,DCE,豆粕1511,M,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-11-17,2015-11-13,201511,2015-11-18
BB1511.DCE,BB1511,DCE,胶合板1511,BB,,张,500.0,人民币元/张,0.05人民币元/张,实物交割,2014-11-17,2015-11-13,201511,2015-11-18
I1511.DCE,I1511,DCE,铁矿石1511,I,,吨,100.0,人民币元/吨,0.5人民币元/吨,实物交割,2014-11-17,2015-11-13,201511,2015-11-18
PP1511.DCE,PP1511,DCE,聚丙烯1511,PP,,吨,5.0,人民币元/吨,1人民币元/吨,实物交割,2014-11-17,2015-11-13,201511,2015-11-18
P1511.DCE,P1511,DCE,棕榈油1511,P,,吨,10.0,人民币元/吨,2人民币元/吨,实物交割,2014-11-17,2015-11-13,201511,2015-11-18
JD1511.DCE,JD1511,DCE,鸡蛋1511,JD,,吨,5.0,人民币元/500千克,1人民币元/500千克,实物交割,2014-11-17,2015-11-13,201511,2015-11-18
V1511.DCE,V1511,DCE,PVC1511,V,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2014-11-17,2015-11-13,201511,2015-11-18
