trade_date,close,TermStructure,Volume,OI,pct_change,ma5,ma10
1995-05-17,55611.687629033535,0.004408060453400504,60.0,100.0,,,
1995-05-18,54740.03108312392,-0.01567398119122257,40.0,60.0,-0.01567398119122254,,
1995-05-22,56274.14660392484,0.02802547770700637,20.0,40.0,0.028025477707006363,,
1995-05-23,56960.416684460506,0.012195121951219513,20.0,,0.012195121951219523,,
1995-05-31,56960.416684460506,0.0,,,0.0,56109.339737000664,
1995-06-16,54386.90388245175,-0.045180722891566265,200.0,200.0,-0.04518072289156627,55864.382987684316,
1995-06-21,52293.78013681796,,800.0,200.0,-0.03848580441640381,55375.13279842312,
1995-06-22,50303.596903264515,-0.03805774278215223,400.0,200.0,-0.03805774278215224,54181.02285829105,
1995-06-23,48712.32753705408,-0.0316333118140736,20.0,,-0.031633311814073695,52531.40502880977,
1995-06-27,48712.32753705408,0.0,,,0.0,50881.787199328486,53495.563468164575
1995-07-12,48712.32753705408,0.0,,,0.0,49746.871930248955,52805.62745896663
1995-07-17,47260.63565681075,-0.029801324503311258,1000.0,1000.0,-0.02980132450331119,48740.24303424752,52057.68791633531
1995-07-18,45841.203596128384,-0.030034129692832763,1540.0,60.0,-0.0300341296928327,47847.76437282029,51014.39361555565
1995-07-19,45808.94377656742,-0.0007037297677691766,220.0,60.0,-0.0007037297677691123,47267.08762072296,49899.24632476635
1995-07-20,48357.4695218835,0.05563380281690141,1840.0,60.0,0.055633802816901445,47196.11601768884,49038.95160850865
1995-07-21,50647.91671071187,0.047364909939959975,1000.0,60.0,0.04736490993996001,47583.233852420395,48665.052891334664
1995-07-24,48163.91060451772,-0.04904458598726115,12000.0,60.0,-0.04904458598726125,47763.888841961794,48252.06593810464
1995-07-25,46325.10088954283,-0.038178164768921635,200.0,60.0,-0.03817816476892155,47860.668300644684,47854.216336732476
1995-07-26,45744.424137445494,-0.012534818941504178,20.0,60.0,-0.012534818941504211,47847.764372820304,47557.42599677162
1995-07-27,45325.046483152975,-0.009167842031029619,100.0,160.0,-0.009167842031029605,47241.27976507419,47218.697891381504
1995-07-28,45873.463415689344,0.012099644128113879,20.0,160.0,0.012099644128113818,46286.389106069684,46934.811479245036
1995-07-31,45873.463415689344,0.0,,160.0,0.0,45828.299668304004,46796.09425513289
1995-08-01,45776.683957006455,-0.002109704641350211,40.0,200.0,-0.002109704641350185,45718.61628179673,46789.6422912207
1995-08-02,46776.73836339631,0.021846370683579985,520.0,200.0,0.021846370683580085,45925.07912698689,46886.42174990359
